Directory,FileName,Picture Date Time,GPS Latitude,GPS Longitude,GPS Latitude Ref,GPS Longitude Ref,GPS Altitude,GPS Altitude Ref,GPS Date Stamp,GPS Processing Method,GPS Timestamp,Aperture,Exposure Time,Flash,Image Length,Image Width,ISO,Make,Model,Orientation,White Balance
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030079.JPG","2016:12:02 14:51:22","54/1,47/1,2914/100","68/1,22/1,3547/100","S","W","676/1","0","2016:12:02","GPS","17:50:35","3.3","0.013","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030114.JPG","2016:12:03 18:09:27","54/1,51/1,2686/100","68/1,34/1,1878/100","S","W","165/1","0","2016:12:03","GPS","21:8:36","3.3","0.0100","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030115.JPG","2016:12:03 18:09:31","54/1,51/1,2686/100","68/1,34/1,1878/100","S","W","163/1","0","2016:12:03","GPS","21:8:36","3.3","0.017","16","768","1024","200","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030117.JPG","2016:12:03 18:10:45","54/1,51/1,2713/100","68/1,34/1,1616/100","S","W","170/1","0","2016:12:03","GPS","21:9:58","3.3","0.0050","16","768","1024","200","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030120.JPG","2016:12:03 18:11:15","54/1,51/1,2677/100","68/1,34/1,1704/100","S","W","162/1","0","2016:12:03","GPS","21:10:25","3.3","0.017","16","768","1024","250","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030122.JPG","2016:12:03 18:11:52","54/1,51/1,2734/100","68/1,34/1,1611/100","S","W","166/1","0","2016:12:03","GPS","21:11:4","3.3","0.0080","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030124.JPG","2016:12:03 18:12:59","54/1,51/1,2856/100","68/1,34/1,1432/100","S","W","167/1","0","2016:12:03","GPS","21:12:11","3.3","0.020","16","768","1024","400","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030125.JPG","2016:12:03 18:14:09","54/1,51/1,2917/100","68/1,34/1,1173/100","S","W","171/1","0","2016:12:08","GPS","18:14:3","3.3","0.020","16","768","1024","400","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030127.JPG","2016:12:03 18:14:33","54/1,51/1,2917/100","68/1,34/1,1173/100","S","W","165/1","0","2016:12:03","GPS","21:13:30","3.3","0.017","16","768","1024","250","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020628.JPG","2016:10:25 10:12:10","40/1,19/1,62171/1497","62/1,45/1,27351/500","S","W","29460/1633","0","2016:10:25","GPS","13:12:10","3.3","0.013","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020457.JPG","2016:09:13 15:01:22","33/1,14/1,41423/1057","58/1,2/1,79945/2898","S","W","44167/5056","0","2016:09:13","GPS","18:1:22","3.3","0.0050","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020459.JPG","2016:09:13 15:01:42","33/1,14/1,108823/2770","58/1,2/1,19289/705","S","W","101113/11387","0","2016:09:13","GPS","18:1:42","3.3","0.0008","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030132.JPG","2016:12:03 18:15:51","54/1,51/1,2873/100","68/1,34/1,1026/100","S","W","172/1","0","2016:12:08","GPS","18:15:42","3.3","0.0080","16","1024","768","500","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030133.JPG","2016:12:03 18:16:01","54/1,51/1,2873/100","68/1,34/1,1026/100","S","W","169/1","0","2016:12:03","GPS","21:15:8","3.3","0.017","16","1024","768","400","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030143.JPG","2016:12:03 18:30:13","54/1,51/1,3581/100","68/1,33/1,4381/100","S","W","154/1","0","2016:12:03","GPS","21:29:4","3.3","0.0025","16","768","1024","160","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030149.JPG","2016:12:03 18:35:04","54/1,51/1,3803/100","68/1,33/1,3756/100","S","W","162/1","0","2016:12:03","GPS","21:34:16","3.3","0.0080","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030151.JPG","2016:12:03 18:40:20","54/1,51/1,3317/100","68/1,33/1,4762/100","S","W","164/1","0","2016:12:03","GPS","21:39:33","3.3","0.017","16","768","1024","320","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030161.JPG","2016:12:03 18:54:58","54/1,51/1,2612/100","68/1,34/1,1829/100","S","W","165/1","0","2016:12:03","GPS","21:54:1","3.3","0.033","16","768","1024","400","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020629.JPG","2016:10:25 10:12:17","40/1,19/1,195232/4699","62/1,45/1,27351/500","S","W","17851/988","0","2016:10:25","GPS","13:12:17","3.3","0.0100","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020460.JPG","2016:09:13 15:01:48","33/1,14/1,195469/4976","58/1,2/1,65255/2404","S","W","27231/2942","0","2016:09:13","GPS","18:1:48","3.3","0.0016","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020461.JPG","2016:09:13 15:02:16","33/1,14/1,60584/1553","58/1,2/1,146539/5444","S","W","13943/1375","0","2016:09:13","GPS","18:2:16","3.3","0.0063","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020479.JPG","2016:09:24 17:12:02","34/1,28/1,29177/2625","57/1,50/1,111486/2639","S","W","98029/3477","0","2016:09:24","GPS","20:12:2","3.3","0.0025","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020480.JPG","2016:09:24 17:12:12","34/1,28/1,34657/3119","57/1,50/1,115219/2727","S","W","48594/1733","0","2016:09:24","GPS","20:12:12","3.3","0.0025","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020481.JPG","2016:09:24 17:12:20","34/1,28/1,36248/3263","57/1,50/1,340581/8060","S","W","95507/3421","0","2016:09:24","GPS","20:12:20","3.3","0.0040","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030292.JPG","2016:12:05 20:12:46","54/1,56/1,5161/100","67/1,38/1,2497/100","S","W","158/1","0","2016:12:10","GPS","20:12:27","3.3","0.025","16","1024","768","400","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030293.JPG","2016:12:05 20:12:50","54/1,56/1,5170/100","67/1,38/1,2496/100","S","W","155/1","0","2016:12:05","GPS","23:11:56","3.3","0.040","16","768","1024","400","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030294.JPG","2016:12:05 20:13:00","54/1,56/1,5161/100","67/1,38/1,2497/100","S","W","154/1","0","2016:12:05","GPS","23:11:59","3.3","0.017","16","768","1024","320","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030295.JPG","2016:12:05 20:13:03","54/1,56/1,5161/100","67/1,38/1,2497/100","S","W","154/1","0","2016:12:05","GPS","23:11:59","3.3","0.020","16","768","1024","400","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030296.JPG","2016:12:05 20:13:12","54/1,56/1,5161/100","67/1,38/1,2497/100","S","W","154/1","0","2016:12:05","GPS","23:11:59","3.3","0.050","16","768","1024","400","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030297.JPG","2016:12:05 20:13:16","54/1,56/1,5219/100","67/1,38/1,2491/100","S","W","154/1","0","2016:12:05","GPS","23:12:27","3.3","0.067","16","768","1024","400","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030298.JPG","2016:12:05 20:13:24","54/1,56/1,5219/100","67/1,38/1,2491/100","S","W","154/1","0","2016:12:05","GPS","23:12:27","3.3","0.033","16","768","1024","800","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030362.JPG","2016:12:22 18:30:57","51/1,34/1,5411/2293","72/1,37/1,10379/1844","S","W","130926/887","0","2016:12:22","GPS","21:30:57","3.3","0.017","16","1024","768","125","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030363.JPG","2016:12:22 18:31:01","51/1,34/1,25201/11084","72/1,37/1,26296/4767","S","W","37456/253","0","2016:12:22","GPS","21:31:1","3.3","0.017","16","768","1024","200","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030364.JPG","2016:12:22 18:31:08","51/1,34/1,36127/17018","72/1,37/1,11129/2092","S","W","228589/1536","0","2016:12:22","GPS","21:31:8","3.3","0.017","16","768","1024","200","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030369.JPG","2016:12:22 18:34:21","51/1,33/1,58346/989","72/1,37/1,52694/14809","S","W","179892/1069","0","2016:12:22","GPS","21:34:21","3.3","0.0012","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030391.JPG","2016:12:23 10:53:24","51/1,26/1,29255/1953","72/1,45/1,88810/3977","S","W","36916/645","0","2016:12:23","GPS","13:53:24","3.3","0.0050","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030392.JPG","2016:12:23 10:53:28","51/1,26/1,33853/2272","72/1,45/1,53037/2360","S","W","51559/900","0","2016:12:23","GPS","13:53:28","3.3","0.0100","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030411.JPG","2016:12:23 19:08:10","51/1,6/1,2383/100","72/1,59/1,1987/100","S","W","169/1","0","2016:12:28","GPS","19:8:6","3.3","0.0100","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030412.JPG","2016:12:23 19:08:17","51/1,6/1,2383/100","72/1,59/1,1987/100","S","W","168/1","0","2016:12:23","GPS","22:7:3","3.3","0.0050","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020727.JPG","2016:11:01 12:11:15","40/1,47/1,22123/388","65/1,6/1,28301/9364","S","W","27733/1033","0","2016:11:01","GPS","15:11:15","10.0","0.0040","16","768","1024","125","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020728.JPG","2016:11:01 12:11:24","40/1,47/1,162533/2851","65/1,6/1,28682/9459","S","W","140566/5261","0","2016:11:01","GPS","15:11:24","10.0","0.0040","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020491.JPG","2016:10:05 16:04:47","36/1,1/1,38341/1470","59/1,5/1,99488/3219","S","W","87476/2145","0","2016:10:05","GPS","19:4:47","3.3","0.0050","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020524.JPG","2016:10:06 16:36:20","36/1,40/1,26112/4531","59/1,3/1,140816/2775","S","W","124987/1629","0","2016:10:06","GPS","19:36:20","3.3","0.0012","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020730.JPG","2016:11:01 12:11:32","40/1,47/1,47938/841","65/1,6/1,15625/5138","S","W","18889/710","0","2016:11:01","GPS","15:11:32","3.3","0.0008","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020732.JPG","2016:11:01 12:11:59","40/1,47/1,109163/1916","65/1,6/1,4855/1581","S","W","58179/2219","0","2016:11:01","GPS","15:11:59","10.0","0.0040","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020733.JPG","2016:11:01 12:12:05","40/1,47/1,52411/920","65/1,6/1,59318/19275","S","W","85559/3274","0","2016:11:01","GPS","15:12:5","10.0","0.0050","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020633.JPG","2016:10:25 10:44:56","40/1,25/1,47359/919","62/1,47/1,29107/1483","S","W","28225/2692","0","2016:10:25","GPS","13:44:56","3.3","0.0063","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020634.JPG","2016:10:25 10:45:06","40/1,25/1,38498/747","62/1,47/1,40005/2038","S","W","49958/4743","0","2016:10:25","GPS","13:45:6","3.3","0.0080","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020736.JPG","2016:11:01 12:12:28","40/1,47/1,23063/405","65/1,6/1,11437/3686","S","W","82032/3179","0","2016:11:01","GPS","15:12:28","10.0","0.0063","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020520.JPG","2016:10:06 15:31:13","36/1,29/1,47174/2617","59/1,1/1,48025/1081","S","W","129861/1852","0","2016:10:06","GPS","18:31:13","3.3","0.0025","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020561.JPG","2016:10:11 14:05:23","38/1,12/1,47951/3807","60/1,14/1,13307/1331","S","W","81560/559","0","2016:10:11","GPS","17:5:23","10.0","0.0063","16","768","1024","100","Panasonic","DMC-FT5","1","0"
